invoice_no,stock_code
536365,85123A
536365,71053
536365,84406B
536365,84029G
536365,84029E
536365,22752
536365,21730
536366,22633
536366,22632
536367,84879
536367,22745
536367,22748
536367,22749
536367,22310
536367,84969
536367,22623
536367,22622
536367,21754
536367,21755
536367,21777
536367,48187
536368,22960
536368,22913
536368,22912
536368,22914
536369,21756
536370,22728
536370,22727
536370,22726
536370,21724
536370,21883
536370,10002
536370,21791
536370,21035
536370,22326
536370,22629
536370,22659
536370,22631
536370,22661
536370,21731
536370,22900
536370,21913
536370,22540
536370,22544
536370,22492
536370,POST
536371,22086
536372,22632
536372,22633
536373,85123A
536373,71053
536373,84406B
536373,20679
536373,37370
536373,21871
536373,21071
536373,21068
536373,82483
536373,82486
536373,82482
536373,82494L
536373,84029G
536373,84029E
536373,22752
536373,21730
536374,21258
536375,85123A
536375,71053
536375,84406B
536375,20679
536375,37370
536375,21871
536375,21071
536375,21068
536375,82483
536375,82486
536375,82482
536375,82494L
536375,84029G
536375,84029E
536375,22752
536375,21730
536376,22114
536376,21733
536377,22632
536377,22633
536378,22386
536378,85099C
536378,21033
536378,20723
536378,84997B
536378,84997C
536378,21094
536378,20725
536378,21559
536378,22352
536378,21212
536378,21975
536378,21977
536378,84991
536378,84519A
536378,85183B
536378,85071B
536378,21931
536378,21929
536380,22961
536381,22139
536381,84854
536381,22411
536381,82567
536381,21672
536381,22774
536381,22771
536381,71270
536381,22262
536381,22637
536381,21934
536381,21169
536381,21166
536381,21175
536381,37444A
536381,37444C
536381,22086
536381,22083
536381,84971S
536381,71270
536381,47580
536381,22261
536381,84832
536381,22644
536381,21533
536381,21557
536381,15056BL
536381,15056N
536381,22646
536381,22176
536381,22438
536381,21731
536381,22778
536381,22719
536381,21523
C536379,D
536382,10002
536382,21912
536382,21832
536382,22411
536382,22379
536382,22381
536382,22798
536382,22726
536382,22926
536382,22839
536382,22838
536382,22783
C536383,35004C
536384,82484
536384,84755
536384,22464
536384,21324
536384,22457
536384,22469
536384,22470
536384,22224
536384,21340
536384,22189
536384,22427
536384,22428
536384,22424
536385,22783
536385,22961
536385,22960
536385,22663
536385,85049A
536385,22168
536385,22662
536386,84880
536386,85099C
536386,85099B
536387,79321
536387,22780
536387,22779
536387,22466
536387,21731
536388,21754
536388,21755
536388,21523
536388,21363
536388,21411
536388,22318
536388,22464
536388,22915
536388,22922
536388,22969
536388,22923
536388,21115
536388,22469
536388,22242
536389,22941
536389,21622
536389,21791
536389,35004C
536389,35004G
536389,85014B
536389,85014A
536389,22193
536389,22726
536389,22727
536389,22192
536389,22191
536389,22195
536389,22196
536390,22941
536390,22960
536390,22961
536390,22962
536390,22963
536390,22968
536390,84970S
536390,22910
536390,20668
536390,85123A
536390,22197
536390,22198
536390,21533
536390,21080
536390,21094
536390,21086
536390,21786
536390,22654
536390,21485
536390,84029G
536390,84030E
536390,22174
536390,22969
536390,85099B
C536391,22556
C536391,21984
C536391,21983
C536391,21980
C536391,21484
C536391,22557
C536391,22553
536392,22150
536392,22619
536392,21891
536392,21889
