Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000015,S08000015,,Breast,,78,,78,
2012Q1,S08000015,S08000015,,Cervical,,4,,4,
2012Q1,S08000015,S08000015,,Colorectal,,53,,53,
2012Q1,S08000015,S08000015,,Head & Neck,,11,,11,
2012Q1,S08000015,S08000015,,Lung,,52,,52,
2012Q1,S08000015,S08000015,,Lymphoma,,25,,25,
2012Q1,S08000015,S08000015,,Melanoma,,15,,15,
2012Q1,S08000015,S08000015,,Ovarian,,6,,6,
2012Q1,S08000015,S08000015,,Upper GI,,26,,26,
2012Q1,S08000015,S08000015,,Urological,,65,,63,
2012Q1,S08000015,S08000017,,Breast,,2,,2,
2012Q1,S08000015,S08000020,,Lung,,1,,1,
2012Q1,S08000015,S08000031,,Breast,,8,,8,
2012Q1,S08000015,S08000031,,Cervical,,1,,1,
2012Q1,S08000015,S08000031,,Colorectal,,3,,2,
2012Q1,S08000015,S08000031,,Head & Neck,,6,,5,
2012Q1,S08000015,S08000031,,Lung,,15,,15,
2012Q1,S08000015,S08000031,,Melanoma,,2,,2,
2012Q1,S08000015,S08000031,,Ovarian,,6,,6,
2012Q1,S08000015,S08000031,,Upper GI,,16,,16,
2012Q1,S08000015,S08000031,,Urological,,1,,1,
2012Q1,S08000015,SB0801,,Lung,,6,,6,
2012Q1,S08000016,S08000016,,Breast,,16,,16,
2012Q1,S08000016,S08000016,,Cervical,,1,,1,
2012Q1,S08000016,S08000016,,Colorectal,,18,,18,
2012Q1,S08000016,S08000016,,Head & Neck,,2,,2,
2012Q1,S08000016,S08000016,,Lung,,19,,19,
2012Q1,S08000016,S08000016,,Lymphoma,,7,,7,
2012Q1,S08000016,S08000016,,Melanoma,,3,,3,
2012Q1,S08000016,S08000016,,Ovarian,,3,,3,
2012Q1,S08000016,S08000016,,Upper GI,,10,,10,
2012Q1,S08000016,S08000016,,Urological,,21,,21,
2012Q1,S08000016,S08000024,,Breast,,1,,1,
2012Q1,S08000016,S08000024,,Colorectal,,2,,2,
2012Q1,S08000016,S08000024,,Head & Neck,,2,,2,
2012Q1,S08000016,S08000024,,Lung,,6,,6,
2012Q1,S08000016,S08000024,,Melanoma,,1,,1,
2012Q1,S08000016,S08000024,,Ovarian,,1,,1,
2012Q1,S08000016,S08000024,,Upper GI,,2,,2,
2012Q1,S08000016,S08000024,,Urological,,3,,3,
2012Q1,S08000017,S08000017,,Breast,,20,,20,
2012Q1,S08000017,S08000017,,Colorectal,,33,,31,
2012Q1,S08000017,S08000017,,Head & Neck,,3,,3,
2012Q1,S08000017,S08000017,,Lung,,17,,17,
2012Q1,S08000017,S08000017,,Lymphoma,,10,,10,
2012Q1,S08000017,S08000017,,Melanoma,,4,,4,
2012Q1,S08000017,S08000017,,Ovarian,,4,,4,
2012Q1,S08000017,S08000017,,Upper GI,,18,,18,
2012Q1,S08000017,S08000017,,Urological,,29,,29,
2012Q1,S08000017,S08000024,,Breast,,3,,3,
2012Q1,S08000017,S08000024,,Cervical,,1,,1,
2012Q1,S08000017,S08000024,,Head & Neck,,3,,3,
2012Q1,S08000017,S08000024,,Lung,,3,,3,
2012Q1,S08000017,S08000024,,Melanoma,,1,,1,
2012Q1,S08000017,S08000024,,Ovarian,,1,,1,
2012Q1,S08000017,S08000024,,Upper GI,,5,,5,
2012Q1,S08000017,S08000024,,Urological,,14,,13,
2012Q1,S08000017,S08000031,,Colorectal,,1,,1,
2012Q1,S08000017,S08000031,,Head & Neck,,2,,2,
2012Q1,S08000017,SB0801,,Lung,,2,,2,
2012Q1,S08000019,S08000019,,Breast,,41,,40,
2012Q1,S08000019,S08000019,,Cervical,,1,,1,
2012Q1,S08000019,S08000019,,Colorectal,,43,,42,
2012Q1,S08000019,S08000019,,Head & Neck,,3,,3,
2012Q1,S08000019,S08000019,,Lung,,27,,27,
2012Q1,S08000019,S08000019,,Lymphoma,,12,,12,
2012Q1,S08000019,S08000019,,Melanoma,,9,,9,
2012Q1,S08000019,S08000019,,Ovarian,,6,,6,
2012Q1,S08000019,S08000019,,Upper GI,,20,,20,
2012Q1,S08000019,S08000019,,Urological,,64,,56,
2012Q1,S08000019,S08000024,,Lung,,1,,1,
2012Q1,S08000019,S08000031,,Breast,,2,,1,
2012Q1,S08000019,S08000031,,Cervical,,1,,0,
2012Q1,S08000019,S08000031,,Colorectal,,3,,3,
2012Q1,S08000019,S08000031,,Head & Neck,,7,,7,
2012Q1,S08000019,S08000031,,Lung,,22,,21,
2012Q1,S08000019,S08000031,,Ovarian,,3,,3,
2012Q1,S08000019,S08000031,,Upper GI,,8,,8,
2012Q1,S08000019,S08000031,,Urological,,1,,1,
2012Q1,S08000019,SB0801,,Lung,,6,,6,
2012Q1,S08000020,S08000020,,Breast,,122,,118,
2012Q1,S08000020,S08000020,,Cervical,,4,,4,
2012Q1,S08000020,S08000020,,Colorectal,,74,,73,
2012Q1,S08000020,S08000020,,Head & Neck,,23,,23,
2012Q1,S08000020,S08000020,,Lung,,68,,68,
2012Q1,S08000020,S08000020,,Lymphoma,,6,,6,
2012Q1,S08000020,S08000020,,Melanoma,,26,,26,
2012Q1,S08000020,S08000020,,Ovarian,,9,,9,
2012Q1,S08000020,S08000020,,Upper GI,,55,,54,
2012Q1,S08000020,S08000020,,Urological,,115,,105,
2012Q1,S08000020,S08000024,,Urological,,2,,2,
2012Q1,S08000022,S08000020,,Head & Neck,,1,,1,
2012Q1,S08000022,S08000020,,Ovarian,,1,,1,
2012Q1,S08000022,S08000022,,Breast,,58,,58,
2012Q1,S08000022,S08000022,,Cervical,,3,,3,
2012Q1,S08000022,S08000022,,Colorectal,,38,,36,
2012Q1,S08000022,S08000022,,Head & Neck,,13,,12,
2012Q1,S08000022,S08000022,,Lung,,43,,43,
2012Q1,S08000022,S08000022,,Lymphoma,,15,,15,
2012Q1,S08000022,S08000022,,Melanoma,,14,,14,
2012Q1,S08000022,S08000022,,Ovarian,,4,,4,
2012Q1,S08000022,S08000022,,Upper GI,,34,,34,
2012Q1,S08000022,S08000022,,Urological,,46,,43,
2012Q1,S08000022,S08000024,,Breast,,1,,1,
2012Q1,S08000022,S08000024,,Melanoma,,1,,1,
2012Q1,S08000022,S08000024,,Urological,,1,,1,
2012Q1,S08000022,S08000031,,Lung,,4,,4,
2012Q1,S08000022,S08000031,,Upper GI,,3,,3,
2012Q1,S08000022,S08000031,,Urological,,8,,8,
2012Q1,S08000022,SB0801,,Lung,,1,,1,
2012Q1,S08000024,S08000016,,Breast,,4,,4,
2012Q1,S08000024,S08000019,,Breast,,1,,1,
2012Q1,S08000024,S08000024,,Breast,,210,,210,
2012Q1,S08000024,S08000024,,Cervical,,6,,6,
2012Q1,S08000024,S08000024,,Colorectal,,139,,134,
2012Q1,S08000024,S08000024,,Head & Neck,,41,,41,
2012Q1,S08000024,S08000024,,Lung,,175,,175,
2012Q1,S08000024,S08000024,,Lymphoma,,34,,34,
2012Q1,S08000024,S08000024,,Melanoma,,50,,50,
2012Q1,S08000024,S08000024,,Ovarian,,21,,19,
2012Q1,S08000024,S08000024,,Upper GI,,51,,51,
2012Q1,S08000024,S08000024,,Urological,,197,,193,
2012Q1,S08000024,S08000029,,Breast,,3,,3,
2012Q1,S08000024,S08000030,,Urological,,1,,1,
2012Q1,S08000025,S08000020,,Breast,,1,,1,
2012Q1,S08000025,S08000020,,Colorectal,,2,,2,
2012Q1,S08000025,S08000020,,Head & Neck,,1,,1,
2012Q1,S08000025,S08000020,,Upper GI,,2,,2,
2012Q1,S08000025,S08000020,,Urological,,1,,1,
2012Q1,S08000025,S08000025,,Colorectal,,2,,2,
2012Q1,S08000025,S08000025,,Urological,,1,,1,
2012Q1,S08000026,S08000020,,Breast,,1,,1,
2012Q1,S08000026,S08000020,,Colorectal,,2,,2,
2012Q1,S08000026,S08000020,,Head & Neck,,1,,1,
2012Q1,S08000026,S08000020,,Lung,,2,,2,
2012Q1,S08000026,S08000020,,Lymphoma,,2,,2,
2012Q1,S08000026,S08000020,,Upper GI,,1,,1,
2012Q1,S08000026,S08000020,,Urological,,2,,2,
2012Q1,S08000026,S08000026,,Breast,,1,,1,
2012Q1,S08000026,S08000026,,Colorectal,,5,,5,
2012Q1,S08000026,S08000026,,Lung,,3,,3,
2012Q1,S08000026,S08000026,,Lymphoma,,1,,1,
2012Q1,S08000026,S08000026,,Melanoma,,1,,1,
2012Q1,S08000026,S08000026,,Upper GI,,1,,1,
2012Q1,S08000026,S08000026,,Urological,,7,,7,
2012Q1,S08000028,S08000022,,Colorectal,,2,,2,
2012Q1,S08000028,S08000022,,Head & Neck,,1,,1,
2012Q1,S08000028,S08000022,,Upper GI,,1,,1,
2012Q1,S08000028,S08000022,,Urological,,1,,1,
2012Q1,S08000028,S08000028,,Colorectal,,5,,5,
2012Q1,S08000028,S08000028,,Head & Neck,,3,,3,
2012Q1,S08000028,S08000028,,Lung,,5,,5,
2012Q1,S08000028,S08000028,,Melanoma,,1,,1,
2012Q1,S08000028,S08000028,,Upper GI,,2,,2,
2012Q1,S08000028,S08000028,,Urological,,2,,2,
2012Q1,S08000028,SB0801,,Lung,,2,,2,
2012Q1,S08000028,SB0801,,Upper GI,,1,,1,
2012Q1,S08000029,S08000024,,Breast,,2,,2,
2012Q1,S08000029,S08000024,,Cervical,,2,,2,
2012Q1,S08000029,S08000024,,Colorectal,,4,,4,
2012Q1,S08000029,S08000024,,Head & Neck,,20,,19,
2012Q1,S08000029,S08000024,,Lung,,23,,22,
2012Q1,S08000029,S08000024,,Lymphoma,,3,,3,
2012Q1,S08000029,S08000024,,Ovarian,,2,,2,
2012Q1,S08000029,S08000024,,Upper GI,,7,,7,
2012Q1,S08000029,S08000024,,Urological,,7,,6,
2012Q1,S08000029,S08000029,,Breast,,43,,43,
2012Q1,S08000029,S08000029,,Cervical,,1,,1,
2012Q1,S08000029,S08000029,,Colorectal,,42,,42,
2012Q1,S08000029,S08000029,,Head & Neck,,4,,4,
2012Q1,S08000029,S08000029,,Lung,,52,,52,
2012Q1,S08000029,S08000029,,Lymphoma,,10,,10,
2012Q1,S08000029,S08000029,,Melanoma,,9,,9,
2012Q1,S08000029,S08000029,,Ovarian,,4,,3,
2012Q1,S08000029,S08000029,,Upper GI,,23,,23,
2012Q1,S08000029,S08000029,,Urological,,95,,91,
2012Q1,S08000029,S08000030,,Lung,,4,,3,
2012Q1,S08000029,S08000030,,Upper GI,,1,,1,
2012Q1,S08000029,S08000030,,Urological,,2,,2,
2012Q1,S08000030,S08000020,,Lung,,1,,1,
2012Q1,S08000030,S08000024,,Lung,,6,,6,
2012Q1,S08000030,S08000030,,Breast,,106,,106,
2012Q1,S08000030,S08000030,,Cervical,,4,,4,
2012Q1,S08000030,S08000030,,Colorectal,,77,,75,
2012Q1,S08000030,S08000030,,Head & Neck,,21,,21,
2012Q1,S08000030,S08000030,,Lung,,51,,51,
2012Q1,S08000030,S08000030,,Lymphoma,,26,,26,
2012Q1,S08000030,S08000030,,Melanoma,,31,,30,
2012Q1,S08000030,S08000030,,Ovarian,,12,,12,
2012Q1,S08000030,S08000030,,Upper GI,,42,,42,
2012Q1,S08000030,S08000030,,Urological,,95,,89,
2012Q1,S08000031,S08000022,,Colorectal,,2,,2,
2012Q1,S08000031,S08000024,,Upper GI,,1,,1,
2012Q1,S08000031,S08000024,,Urological,,1,,1,
2012Q1,S08000031,S08000031,,Breast,,281,,280,
2012Q1,S08000031,S08000031,,Cervical,,11,,11,
2012Q1,S08000031,S08000031,,Colorectal,,182,,172,
2012Q1,S08000031,S08000031,,Head & Neck,,73,,69,
2012Q1,S08000031,S08000031,,Lung,,220,,215,
2012Q1,S08000031,S08000031,,Lymphoma,,43,,43,
2012Q1,S08000031,S08000031,,Melanoma,,75,,75,
2012Q1,S08000031,S08000031,,Ovarian,,16,,16,
2012Q1,S08000031,S08000031,,Upper GI,,168,,165,
2012Q1,S08000031,S08000031,,Urological,,261,,252,
2012Q1,S08000031,S08000032,,Breast,,4,,4,
2012Q1,S08000031,SB0801,,Lung,,45,,45,
2012Q1,S08000032,S08000031,,Breast,,2,,2,
2012Q1,S08000032,S08000031,,Cervical,,6,,6,
2012Q1,S08000032,S08000031,,Colorectal,,11,,10,
