Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q1,S08000015,,S08000015,Breast,,52,,52,
2012Q1,S08000015,,S08000015,Cervical,,2,,2,
2012Q1,S08000015,,S08000015,Colorectal,,31,,29,
2012Q1,S08000015,,S08000015,Head & Neck,,2,,2,
2012Q1,S08000015,,S08000015,Lung,,34,,33,
2012Q1,S08000015,,S08000015,Lymphoma,,10,,9,
2012Q1,S08000015,,S08000015,Melanoma,,2,,2,
2012Q1,S08000015,,S08000015,Ovarian,,2,,2,
2012Q1,S08000015,,S08000015,Upper GI,,22,,22,
2012Q1,S08000015,,S08000015,Urological,,12,,11,
2012Q1,S08000015,,S08000017,Breast,,2,,2,
2012Q1,S08000015,,S08000020,Lung,,1,,1,
2012Q1,S08000015,,S08000031,Breast,,5,,3,
2012Q1,S08000015,,S08000031,Cervical,,1,,1,
2012Q1,S08000015,,S08000031,Colorectal,,1,,1,
2012Q1,S08000015,,S08000031,Head & Neck,,1,,1,
2012Q1,S08000015,,S08000031,Lung,,7,,7,
2012Q1,S08000015,,S08000031,Melanoma,,1,,0,
2012Q1,S08000015,,S08000031,Ovarian,,3,,2,
2012Q1,S08000015,,S08000031,Upper GI,,6,,5,
2012Q1,S08000015,,S08000031,Urological,,1,,1,
2012Q1,S08000015,,SB0801,Lung,,2,,2,
2012Q1,S08000016,,S08000016,Breast,,6,,6,
2012Q1,S08000016,,S08000016,Cervical,,1,,1,
2012Q1,S08000016,,S08000016,Colorectal,,13,,13,
2012Q1,S08000016,,S08000016,Head & Neck,,1,,1,
2012Q1,S08000016,,S08000016,Lung,,13,,13,
2012Q1,S08000016,,S08000016,Lymphoma,,3,,3,
2012Q1,S08000016,,S08000016,Melanoma,,3,,3,
2012Q1,S08000016,,S08000016,Ovarian,,2,,2,
2012Q1,S08000016,,S08000016,Upper GI,,6,,6,
2012Q1,S08000016,,S08000016,Urological,,13,,13,
2012Q1,S08000016,,S08000024,Breast,,1,,1,
2012Q1,S08000016,,S08000024,Colorectal,,2,,1,
2012Q1,S08000016,,S08000024,Head & Neck,,1,,1,
2012Q1,S08000016,,S08000024,Lung,,3,,3,
2012Q1,S08000016,,S08000024,Melanoma,,1,,1,
2012Q1,S08000016,,S08000024,Upper GI,,1,,1,
2012Q1,S08000016,,S08000024,Urological,,1,,1,
2012Q1,S08000017,,S08000017,Breast,,8,,8,
2012Q1,S08000017,,S08000017,Colorectal,,20,,20,
2012Q1,S08000017,,S08000017,Head & Neck,,2,,2,
2012Q1,S08000017,,S08000017,Lung,,12,,12,
2012Q1,S08000017,,S08000017,Lymphoma,,2,,2,
2012Q1,S08000017,,S08000017,Melanoma,,3,,3,
2012Q1,S08000017,,S08000017,Ovarian,,2,,2,
2012Q1,S08000017,,S08000017,Upper GI,,17,,17,
2012Q1,S08000017,,S08000017,Urological,,17,,17,
2012Q1,S08000017,,S08000024,Breast,,3,,3,
2012Q1,S08000017,,S08000024,Head & Neck,,1,,1,
2012Q1,S08000017,,S08000024,Lung,,2,,2,
2012Q1,S08000017,,S08000024,Melanoma,,1,,1,
2012Q1,S08000017,,S08000024,Ovarian,,1,,1,
