"Region","CancerSiteICD10Code","CancerSite","Sex","SexQF","Year","IncidencesAgeUnder5","IncidencesAge5To9","IncidencesAge10To14","IncidencesAge15To19","IncidencesAge20To24","IncidencesAge25To29","IncidencesAge30To34","IncidencesAge35To39","IncidencesAge40To44","IncidencesAge45To49","IncidencesAge50To54","IncidencesAge55To59","IncidencesAge60To64","IncidencesAge65To69","IncidencesAge70To74","IncidencesAge75To79","IncidencesAge80To84","IncidencesAge85To89","IncidencesAge90AndOver","IncidencesAllAges","IncidenceRateAgeUnder5","IncidenceRateAge5To9","IncidenceRateAge10To14","IncidenceRateAge15To19","IncidenceRateAge20To24","IncidenceRateAge25To29","IncidenceRateAge30To34","IncidenceRateAge35To39","IncidenceRateAge40To44","IncidenceRateAge45To49","IncidenceRateAge50To54","IncidenceRateAge55To59","IncidenceRateAge60To64","IncidenceRateAge65To69","IncidenceRateAge70To74","IncidenceRateAge75To79","IncidenceRateAge80To84","IncidenceRateAge85To89","IncidenceRateAge90AndOver","CrudeRate","CrudeRateLower95pcConfidenceInterval","CrudeRateUpper95pcConfidenceInterval","EASR","EASRLower95pcConfidenceInterval","EASRLower95pcConfidenceIntervalQF","EASRUpper95pcConfidenceInterval","EASRUpper95pcConfidenceIntervalQF","WASR","WASRLower95pcConfidenceInterval","WASRLower95pcConfidenceIntervalQF","WASRUpper95pcConfidenceInterval","WASRUpper95pcConfidenceIntervalQF","StandardisedIncidenceRatio","SIRLower95pcConfidenceInterval","SIRUpper95pcConfidenceInterval"
"North of Scotland","C00-C97, excluding C44","All cancer types","All","d","2017-2021",63,61,37,66,116,251,410,570,794,1367,2489,3469,4780,6229,7139,6408,5061,3180,1509,43999,18.7512277589604,16.2475162608339,9.89868561506954,18.2755622504417,28.1219620401999,56.5879920731721,91.8125590623474,130.386745386711,194.258368523294,297.527064733357,487.21667929241,680.053400561059,1041.29678483279,1497.36656754736,1852.79385429914,2362.06540650526,2587.03975381973,2696.97226698329,2411.58327073978,630.085550377917,624.21168963121,636.000925751556,605.09501461611,599.391950150714,NA,610.824709396311,NA,282.383204874172,279.356342803897,NA,285.426151759073,NA,95.0157250707684,94.1299578325287,95.9077526372711
"North of Scotland","C00-C97, excluding C44","All cancer types","Male",NA,"2017-2021",30,31,21,32,65,102,133,193,238,442,930,1594,2485,3466,4255,3643,2638,1495,612,22405,17.3144182932601,16.0974571210477,10.9793588054458,17.2386857656939,30.37624484188,44.4956289588023,59.0111855036582,89.0246040019558,117.046494014891,197.739860239972,372.436495572811,636.848518747878,1097.78940114152,1700.53675337801,2293.35546740255,2937.87953322957,3139.35499226467,3258.21637171999,3117.20063158967,650.501442106969,642.011244568054,659.075862142159,657.472555382104,648.797109142018,NA,666.204822202326,NA,286.032098349068,281.849886102293,NA,290.244685305764,NA,95.7079787331601,94.4588198644836,96.9695292190731
"North of Scotland","C00-C97, excluding C44","All cancer types","Females",NA,"2017-2021",33,30,16,34,51,149,277,377,556,925,1559,1875,2295,2763,2884,2765,2423,1685,897,21594,20.2812330989724,16.4055450742351,8.76621064108394,19.372225925736,25.6919186321824,69.5218853962048,125.236797012402,171.078246742933,270.696605581413,392.068766742396,596.965774983343,721.675673179068,986.337400452985,1302.20238572149,1443.63130337281,1877.28720117865,2171.16640830115,2339.43298253409,2088.96134140661,610.214781813034,602.102707048446,618.4088336911,552.717473850115,545.329136953691,NA,560.154836722351,NA,278.734311399276,274.366773459079,NA,283.13586074098,NA,94.3079790969909,93.0542674529384,95.5743602078193
"North of Scotland","C67","Bladder","All","d","2017-2021",0,0,0,0,0,0,1,1,10,11,17,50,90,120,206,207,207,127,74,1121,0,0,0,0,0,0,0.223933070883774,0.228748676117037,2.44657894865609,2.39414609514772,3.32771536680232,9.80186509889102,19.6060064089856,28.846361872802,53.463445018297,76.3026746483442,105.812532906675,107.709269782037,118.261870135682,16.0532262545432,15.1271227993471,17.021194829135,16.1339901623609,15.1859341408764,NA,17.1103465884043,NA,5.65687928319429,5.29486449465159,NA,6.03069552360345,NA,95.9738797837982,90.4371895093933,101.760859805093
"North of Scotland","C67","Bladder","Male",NA,"2017-2021",0,0,0,0,0,0,0,0,8,7,15,38,61,88,154,157,149,80,46,803,0,0,0,0,0,0,0,0,3.93433593327366,3.13162674588191,6.00704025117438,15.1820851395353,26.9477478751038,43.1757744654545,83.0027595722663,126.611882162241,177.31762465786,174.352715543545,234.299393877655,23.3141110471723,21.7292490326555,24.9840045930296,24.4993167607783,22.8065822182608,NA,26.2517866500826,NA,8.47912095425504,7.85130469777319,NA,9.13074174638854,NA,98.4388274759992,91.7470879494687,105.489594384132
"North of Scotland","C67","Bladder","Females",NA,"2017-2021",0,0,0,0,0,0,1,1,2,4,2,12,29,32,52,50,58,47,28,318,0,0,0,0,0,0,0.452118400766793,0.453788452899028,0.973728797055444,1.69543250483198,0.765831654885623,4.61872430834604,12.463522707249,15.0816056254389,26.0294132369578,33.9473273269195,51.9717918619342,65.2542137561436,65.2072659524919,8.986213791634,8.02557654578861,10.0301799265528,7.76866356394356,6.93438656202895,NA,8.64964433645393,NA,2.83463761213355,2.48266908282792,NA,3.20959864520429,NA,90.2662585788497,80.6166851272718,100.752868319859
"North of Scotland","C40-C41","Bone and articular cartilage","All","d","2017-2021",0,1,5,2,5,6,2,1,2,2,4,7,5,7,2,2,3,2,4,62,0,0.266352725587441,1.33766021825264,0.55380491668005,1.21215353621551,1.3527010057332,0.447866141767549,0.228748676117037,0.489315789731219,0.435299290026858,0.782991851012311,1.37226111384474,1.08922257827698,1.68270444258011,0.519062572993174,0.737223909645838,1.53351496966196,1.69620897294547,6.39253352084765,0.887867999805242,0.680723304332117,1.13820670534735,0.851940663154791,0.652278818242358,NA,1.07785480978337,NA,0.725098274572858,0.529518448586086,NA,0.950941580251861,NA,90.3976573228693,69.3073655207803,115.88571694796
"North of Scotland","C40-C41","Bone and articular cartilage","Male",NA,"2017-2021",0,1,4,1,3,3,2,0,2,1,3,5,4,4,2,1,1,1,0,38,0,0.519272810356377,2.09130643913253,0.538708930177936,1.40198053116369,1.30869496937654,0.887386248175312,0,0.983583983318416,0.447375249411702,1.20140805023488,1.99764278151781,1.76706543443304,1.9625352029752,1.07795791652294,0.806445109313635,1.1900511722004,2.17940894429431,0,1.10328296362708,0.780748689131332,1.51434206647395,1.07020545254943,0.756453094315747,NA,1.43753835134441,NA,0.95732369275857,0.645594490818001,NA,1.32948835123329,NA,100.446222275419,71.0817251377729,137.870287881536
"North of Scotland","C40-C41","Bone and articular cartilage","Females",NA,"2017-2021",0,0,1,1,2,3,0,1,0,1,1,2,1,3,0,1,2,1,4,24,0,0,0.547888165067746,0.569771350756941,1.0075262208699,1.39976950462157,0,0.453788452899028,0,0.423858126207996,0.382915827442811,0.769787384724339,0.429776645077553,1.4139005273849,0,0.678946546538391,1.7921307538598,1.38838752672646,9.31532370749884,0.678204814462944,0.434538621635934,1.00911500470938,0.633675873760155,0.404679097164754,NA,0.913196415367797,NA,0.492872856387146,0.278147505352365,NA,0.768011637979202,NA,78.0369560218035,49.9997501982217,116.112804810751
"North of Scotland","C40-C41, C47+C49","Bone and connective tissue","All","d","2017-2021",5,3,11,7,7,11,10,7,5,7,16,18,19,21,19,21,15,12,10,224,1.48819267928257,0.799058176762323,2.94285248015581,1.93831720838018,1.69701495070172,2.4799518438442,2.23933070883774,1.60124073281926,1.22328947432805,1.523547515094,3.13196740404924,3.52867143560077,4.13904579745253,5.04811332774034,4.93109444343516,7.74085105128129,7.66757484830981,10.1772538376728,15.9813338021191,3.20778116058668,2.80142793443796,3.65651044479711,3.15130310936175,2.74785575828396,NA,3.58198216310384,NA,2.32435301594806,1.96146915481421,NA,2.71758122873,NA,87.710107639637,76.5992233800951,99.9796771173616
"North of Scotland","C40-C41, C47+C49","Bone and connective tissue","Male",NA,"2017-2021",2,1,5,5,4,5,6,3,3,4,7,9,13,13,11,10,9,5,4,119,1.154294552884,0.519272810356377,2.61413304891566,2.69354465088968,1.86930737488492,2.18115828229423,2.66215874452594,1.38380213474543,1.47537597497762,1.78950099764681,2.80328545054804,3.59575700673206,5.74296266190737,6.37823940966941,5.92876854087616,8.06445109313634,10.7104605498036,10.8970447214715,20.3738603371874,3.45501770188481,2.86219569502565,4.1344437935452,3.49898017397442,2.8915999385276,NA,4.16340040072048,NA,2.45733803368758,1.95455375354958,NA,3.01680242431333,NA,84.7116118263475,70.1765465791351,101.370073318463
"North of Scotland","C40-C41, C47+C49","Bone and connective tissue","Females",NA,"2017-2021",3,2,6,2,3,6,4,4,2,3,9,9,6,8,8,11,6,7,6,105,1.84374846354295,1.09370300494901,3.28732899040648,1.13954270151388,1.51128933130485,2.79953900924314,1.80847360306717,1.81515381159611,0.973728797055444,1.27157437862399,3.4462424469853,3.46404323125953,2.57865987046532,3.77040140635972,4.00452511337812,7.4684120119223,5.3763922615794,9.71871268708522,13.9729855612483,2.96714606327538,2.42683151528131,3.5919112170226,2.80362604474908,2.28992308033209,NA,3.36853732595304,NA,2.19136799820854,1.68642713706501,NA,2.76142667805405,NA,91.3757414519217,74.7363036260274,110.615906222899
"North of Scotland","C47+C49","Connective tissue","All","d","2017-2021",5,2,6,5,2,5,8,6,3,5,12,11,14,14,17,19,12,10,6,162,1.48819267928257,0.532705451174882,1.60519226190317,1.38451229170013,0.484861414486204,1.127250838111,1.79146456707019,1.37249205670222,0.733973684596828,1.08824822506715,2.34897555303693,2.15641032175602,3.04982321917555,3.36540888516023,4.41203187044198,7.00362714163546,6.13405987864785,8.48104486472733,9.58880028127147,2.31991316078144,1.97642218775219,2.70594136600464,2.29936244620696,1.95464278646494,NA,2.6716648878924,NA,1.59925474137521,1.30081777399039,NA,1.92805068983949,NA,86.723346520165,73.8829147384297,101.15391158358
"North of Scotland","C47+C49","Connective tissue","Male",NA,"2017-2021",2,0,1,4,1,2,4,3,1,3,4,4,9,9,9,9,8,4,4,81,1.154294552884,0,0.522826609783132,2.15483572071174,0.46732684372123,0.872463312917692,1.77477249635062,1.38380213474543,0.491791991659208,1.3421257482351,1.60187740031317,1.59811422521425,3.97589722747433,4.41570420669421,4.85081062435323,7.25800598382271,9.52040937760324,8.71763577717723,20.3738603371874,2.35173473825773,1.86761684475431,2.92299155117895,2.428774721425,1.92153452860622,NA,2.99453100480471,NA,1.50001434092901,1.12148477235214,NA,1.93274007601595,NA,78.9124342720145,62.6678634751833,98.0809505883924
